SC-5,SP-6,SHBd,minHaaCH,maxwHBa,FMF,Class  
0.282118,,0.417064,0.392469,2.19695,0.323077,medium  
0.191638,,0.882505,0.360055,2.3821,0.3125,medium  
0.219416,3.2263,0.201241,0.482328,,0.416667,medium  
0.242834,2.45381,0.589528,0.416399,2.12954,,medium  
0.428152,3.98745,,0.495192,1.86886,0.363636,medium  
0.532118,3.63253,0.34612,,0.009025,0.372549,low  
,6.85522,0.0,0.507748,1.8859,0.4,medium  
0.739251,,0.0,0.503995,1.84017,0.428571,medium  
0.359117,4.64136,0.362322,0.494876,,0.4375,medium  
0.815332,6.59011,0.0,0.497445,,0.415385,medium  
0.309489,3.43659,0.380631,0.461808,,0.35,medium  
0.359117,5.16718,0.0,0.366074,,0.387097,medium  
,4.92643,0.448998,0.482293,2.06438,0.536585,high  
0.7466,,0.768726,0.410466,2.1668,0.460317,medium  
0.628931,6.63444,0.0,0.501485,,0.416667,medium  
0.329333,5.54473,0.501096,,2.01516,0.489796,medium  
,2.31848,0.537314,0.442655,2.18643,0.354839,medium  
0.216506,2.29193,0.743778,0.316301,,0.243902,low  
0.518211,4.00117,0.495723,0.54353,,0.380952,medium  
,5.10939,0.0,0.433054,2.21884,0.388889,medium  
0.284518,3.91652,0.351444,0.720723,,0.333333,medium  
0.816281,,0.360264,0.506231,1.89416,0.419355,medium  
0.310301,3.72521,,0.468705,1.83889,0.358491,medium  
0.409501,5.02379,,0.469384,2.03957,0.490196,medium  
,5.03047,0.986446,0.509571,2.0135,0.458333,medium  
0.191638,4.0531,,0.452885,2.10883,0.365385,medium  
0.788675,3.21249,0.378616,0.428933,,0.3,low  
0.117851,,0.418575,0.453376,2.03963,0.340426,medium  
0.381723,5.1956,0.479925,0.462768,2.17964,,medium  
0.373065,,0.420276,0.479832,1.99338,0.4,medium  
0.379717,4.42463,0.0,0.0,2.33879,,high  
0.083333,3.87774,0.335309,,2.10823,0.343284,medium  
,7.15302,0.0,0.513629,1.6594,0.380952,medium  
0.117851,3.28853,,0.0,0.526565,0.404762,low  
0.274972,4.34101,1.23861,0.503565,2.02422,,high  
,5.64536,0.660618,0.479358,1.88688,0.307692,low  
0.323802,2.09181,0.788531,0.509167,1.91675,,medium  
0.235702,2.54661,0.379107,,0.232192,0.269231,low  
0.414672,3.8748,,0.459106,2.06616,0.325581,medium  
0.38952,3.84207,0.34591,,1.69601,0.352941,low  
0.707068,4.58381,,0.0,0.011251,0.153846,low  
0.44005,5.47159,0.0,,2.00258,0.370968,medium  
0.302749,,0.368524,0.61643,1.7558,0.411765,medium  
0.354351,,0.0,0.431463,2.16536,0.25,low  
,7.00949,0.4503,0.483648,2.02757,0.5,high
